mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__penalty,param_tfidf__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.32567625045776366,0.20988823666316003,0.0,0.0,0.1,l1,1000,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'tfidf__max_features': 1000}",,,,,,,,10,,,,,,,
0.38790264129638674,0.09934501345047567,0.0,0.0,0.1,l1,5000,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'tfidf__max_features': 5000}",,,,,,,,10,,,,,,,
0.42897629737854004,0.06626675405970445,0.0,0.0,0.1,l1,,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'tfidf__max_features': None}",,,,,,,,10,,,,,,,
0.34975223541259765,0.11375751927922403,0.09835114479064941,0.04861844983504488,0.1,l2,1000,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'tfidf__max_features': 1000}",0.9545004945598418,0.9528519617540389,0.9508737223870755,0.9508737223870755,0.9508575197889182,0.9519914841753898,0.0014710685118826243,7,0.9548264776193224,0.9558156788393373,0.9552386447943286,0.9570521803643558,0.956396307286515,0.9558658577807717,0.0007956083366840411
0.6086739063262939,0.13638975992426872,0.1168886661529541,0.02197415622709059,0.1,l2,5000,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'tfidf__max_features': 5000}",0.9512034289482361,0.9495548961424333,0.9475766567754699,0.9488954830201121,0.9465699208443272,0.9487600771461157,0.0016010814105764937,8,0.95400214326931,0.9546616107493199,0.9544143104443162,0.9556508119693348,0.955242334322453,0.9547942421509468,0.0005871725941542813
0.32395129203796386,0.05585610135402889,0.067283296585083,0.003918902331908045,0.1,l2,,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'tfidf__max_features': None}",0.9512034289482361,0.9495548961424333,0.9475766567754699,0.9488954830201121,0.9465699208443272,0.9487600771461157,0.0016010814105764937,8,0.95400214326931,0.9546616107493199,0.9544143104443162,0.9556508119693348,0.955242334322453,0.9547942421509468,0.0005871725941542813
0.2551258087158203,0.010869766879158117,0.0,0.0,1,l1,1000,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'tfidf__max_features': 1000}",,,,,,,,10,,,,,,,
0.24142241477966309,0.016314626669200277,0.0,0.0,1,l1,5000,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'tfidf__max_features': 5000}",,,,,,,,10,,,,,,,
0.2405609130859375,0.0123860243458498,0.0,0.0,1,l1,,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'tfidf__max_features': None}",,,,,,,,10,,,,,,,
0.296110200881958,0.02584324596589594,0.06288676261901856,0.006463640403397809,1,l2,1000,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'tfidf__max_features': 1000}",0.9663699307616221,0.9676887570062644,0.9706561160567095,0.9660402242004615,0.9689973614775725,0.967950477900526,0.0017106805277132384,4,0.9757645701096365,0.975599703239634,0.9757645701096365,0.9756821366746352,0.9756841411144082,0.9756990242495901,6.158551852155336e-05
